node_id,node_name,timestep,feature_index,importance_score
68,Traffic Shaping,1,0,0.0
9,Solution_BLACKHOLING_Mentions,1,0,0.0
10,Solution_BLACKLISTING_Mentions,1,0,0.0
69,User Behaviour Analytics,1,0,0.0
13,Solution_CODE SIGNING_Mentions,1,0,0.0
52,Solution_PUBLIC KEY INFRASTRUCTURE_Mentions,1,0,0.0
14,Solution_CONTINUOUS AUTHENTICATION_Mentions,1,0,0.0
58,Sandboxing,1,0,0.0
49,Solution_PATCH MANAGEMENT_Mentions,1,0,0.0
48,Solution_PASSWORD MANAGEMENT_Mentions,1,0,0.0
47,Solution_PASSWORD HASHING_Mentions,1,0,0.0
46,Solution_PACKET FILTERING_Mentions,1,0,0.0
45,Solution_ONE TIME PASSWORD_Mentions,1,0,0.0
42,Solution_MUTUAL AUTHENTICATION_Mentions,1,0,0.0
71,Virtual Keyboards,1,0,0.0
37,Solution_KEYSTROKE DYNAMICS_Mentions,1,0,0.0
32,Solution_HYPERGAME_Mentions,1,0,0.0
99,cluster_7_score,1,0,0.0
26,Solution_FILE INTEGRITY MONITORING_Mentions,1,0,0.0
15,Solution_Control Flow Integrity_Mentions,1,0,0.0
59,Secure Boot,1,0,0.0
25,Solution_DYNAMIC RESOURCE MANAGEMENT_Mentions,1,0,0.0
60,Session Management,1,0,0.0
61,Software Defined Network,1,0,0.0
20,Solution_DATA LOSS PREVENTION_Mentions,1,0,0.0
94,cluster_2_score,1,0,0.0
65,Solution_HIDDEN MARKOV MODEL_Mentions,1,0,0.0
19,Solution_DATA LEAKAGE DETECTION/PREVENTION_Mentions,1,0,0.0
18,Data Backups,1,0,0.0
17,Solution_DARKNET MONITORING_Mentions,1,0,0.0
22,Solution_DECEPTION TECHNOLOGY_Mentions,1,0,0.0
